planning_horizon,technology,parameter,value,unit,source,further description
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
2025,green_ocgt,marginal_cost,444.7,EUR/MWh,Google GO Assumptions,
2030,green_ocgt,marginal_cost,371.1,EUR/MWh,Google GO Assumptions,
2035,green_ocgt,marginal_cost,297.5,EUR/MWh,Google GO Assumptions,
2040,green_ocgt,marginal_cost,223.8,EUR/MWh,Google GO Assumptions,
all,green_ocgt,capital_cost,72790,EUR/MW,Google GO Assumptions,
all,green_ocgt,lifetime,25,years,Google GO Assumptions,
all,adv_firm_tech,marginal_cost,13.6,EUR/MWh,Google GO Assumptions,
all,adv_firm_tech,capital_cost,585153,EUR/MW,Google GO Assumptions,
all,adv_firm_tech,lifetime,40,years,Google GO Assumptions,
